Projects,Director,Writers,Cover,Genre,Related,Year,Description,Date,Status
遇見王瀝川 Remembering Lichuan,導演 陳銘章,編劇 施定柔,Screenshot_2024-09-03_at_20.02.19.png,預告片花 Trailer,"▶️ https://youtu.be/xFMotwsGRSY?si=QRd74RZ9YP1yjy7W
▶️ https://youtu.be/_PtmhmMvGG0?si=hQgO8EKh8ooUAMYY
▶️ https://youtu.be/NV74g3OEGag?si=qiHVK-azrqb5vDOC",2016,預告、前導片花、正式片花剪輯,2016年7月31日,Done
克拉戀人 Diamond Lover,導演 陳銘章,編劇 李捷,ke.png,劇集 Series,,2015,,2015年7月22日,Done
遇見愛情的利先生 Love & Life & Lie,導演 陳銘章,編劇 祝明,yu.png,劇集 Series,,2014,,2014年3月23日,Done
甜.祕密 Together,導演 許肇任,編劇 莊世鴻,"together_%E8%97%8D%E5%B0%8F%E6%AA%94_0.png, mimi.jpg",電影 Feature Film,"▶️ https://www.youtube.com/watch?v=pILZuWicf78
▶️ https://www.iq.com/album/%E7%94%9C%E2%80%A7%E7%A5%95%E5%AF%86-2012-19rrkr2wiw?lang=zh_tw",2012,金馬獎最佳新導演、新演員、原創電影歌曲提名，入選釜山影展、溫哥華影展、柏林影展、香港國際電影節，並獲選為金馬國際影展開幕片。,2012年11月30日,Done
醉後決定愛上你 Love You / While We Were Drunk,導演 陳銘章,編劇 陸亦華、簡佑玶、孫向妘、陳炘怡、陳泰霖,zui.png,劇集 Series,"▶️ https://youtu.be/0hIaDH9OL0I?si=Wdpn7tHHOCQnJAGP
▶️ https://www.netflix.com/watch/80111917?source=35
▶️ https://www.youtube.com/watch?v=RrVRomWV0G4&list=PL_N94HRA643pJEfyWUU6E0ZcERrBkPnXQ",2011,入圍金鐘獎 最佳戲劇節目、男主角、導演獎、節目行銷獎,2011年4月17日,Done
回聲,導演 趙正平,編劇 陳世杰、王詞仰,hui2.png,電視電影 TV Movie,"▶️ https://youtu.be/_SaCtAY6T_E?si=3NHL2kdw_hdqRWT8
▶️ https://www.litv.tv/drama/watch/VOD00075230",2011,,2011年2月27日,Done
回首留蘭香,導演 許肇任,編劇 吳洛纓,hui.png,劇集 Series,▶️ https://youtu.be/3n62i3ZXr9w?si=B7S8pUS1YeTPXHSN,2011,,2011年5月23日,Done
牽紙鷂的手 The Kite Soaring,導演 許肇任、林志儒,編劇 呂蒔媛,q.png,劇集 Series,"▶️ https://youtu.be/MkVtN64Aixs?si=wS7EaFiAkeJXRFuQ
▶️ https://www.hakkatv.org.tw/series/1624270018408236",2010,獲金鐘獎編劇獎、男配角獎、剪輯獎，入圍金鐘獎戲劇節目、男主角、導演獎、美術設計獎。,2010年3月23日,Done
我在1949，等你 Letter 1949,導演 陳銘章、鄧安寧,編劇 吳洛纓、吳維君、張瑋庭、楊景翔、潘冠宏,1949.png,劇集 Series,https://youtu.be/GxIEhtoBQxE?si=meqOCzYhR-KyXY48,2009,入圍金鐘獎男配角獎、美術設計獎,2009年11月9日,Done
應屆退休生,導演 林子平,編劇 陳宏宇、鄭婉玭,tui.png,電視電影 TV Movie,▶️ https://youtu.be/sOaGIL0jkWc?si=xDL-EViK7PPQhUVY,2009,獲金鐘獎男配角獎，入圍金鐘獎燈光獎,2009年1月11日,Done
不死搖滾夢,導演 邱晧洲,編劇 陳依孝,rock.png,電視電影 TV Movie,▶️ https://youtu.be/3m7lRineq4U?si=QZ3LoscuSzSOm7Pz,2009,,2009年1月18日,Done
敬盛堂的春大神,導演 王道南,編劇 王道南,jing.png,電視電影 TV Movie,▶️ https://youtu.be/AT_Yc16Yy7Y?si=AB3Cs5BUbu4a-2-k,2008,,,Done
S.H.E.、飛輪海 - 新窩,導演 比爾賈,,s%201.png,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=mtdimg62BLs,2008,,,Done
 JJ 林俊傑 K-O,導演 比爾賈,,Screenshot_2024-09-04_at_11.55.14.png,音樂錄影帶 Music Video,▶️ https://youtu.be/pbfi0XFUgbo?si=Hk-TdgQXxrqoVmEd,2007,,,Done
中華電信光世代 - 應用篇,導演 蕭雅全,,z3.png,廣告 Commercial,▶️ https://youtu.be/B8VjW5pofDQ?si=0Q4J2YVbrImTxD9u,2007,,,Done
S.H.E - 藉口,導演 比爾賈,,ss.png,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=s_y-s9nhe74,2007,,,Done
Tank -  鬥牛要不要,導演 比爾賈,,ttt.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV19D4y1W7SU/?share_source=copy_web,2007,,,Done
李玖哲 - 小胖子的一天,導演 比爾賈,,lili.png,音樂錄影帶 Music Video,▶️ https://youtu.be/Ca2R8tvp41Q?si=cI-lxfE1BDSskxV0,2007,,,Done
F.I.R. 飛兒樂團 - 月牙灣,導演 比爾賈,,f%201.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1N4411K76g/?share_source=copy_web,2007,,,Done
中華電信光世代 - 決心篇,導演 蕭雅全,,z2.png,廣告 Commercial,▶️ https://youtu.be/v5kNzOjC1vk?si=vPEbSu1-g0x8h0iP,2007,,,Done
中華電信光世代 - 建設篇,導演 蕭雅全,,z1.png,廣告 Commercial,▶️ https://youtu.be/dmtwySeQDtE?si=Nf558FCU40C0fQtI,2007,,,Done
Tank - 街頭霸王 電影版,導演 比爾賈,,tank.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV19P4y1m7nt/?share_source=copy_web,2007,,,Done
三角COOL - 三角COOL,導演 比爾賈,,3.png,音樂錄影帶 Music Video,▶️ https://youtu.be/e2g-sYZWEtg?si=YPzcE-9zhzy9bPdg,2007,,,Done
F.I.R. 飛兒樂團 - 飛行部落,導演 比爾賈,,Screenshot_2024-09-04_at_11.41.03.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1tz411z7Tf/?share_source=copy_web,2007,,,Done
JJ林俊傑 - 殺手 電影版,導演 比爾賈,,k.png,"短片 Short Film, 音樂錄影帶 Music Video",▶️ https://www.youtube.com/watch?v=sYI1vpZ_PwM,2007,,,Done
黃立行 - 要 (I Wanna),導演 比爾賈,,h.png,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=EFsYiU6i7ZQ,2007,,,Done
蔡健雅 - 障眼法,導演 比爾賈,,Screenshot_2024-09-04_at_12.28.48.png,音樂錄影帶 Music Video,▶️ https://youtu.be/ROgiiCY-PN0?si=DEpwh0BBNvt3j4oI,2006,,,Done
櫻桃幫 - 親愛的王子,導演 比爾賈,,Screenshot_2024-09-04_at_12.34.46.png,音樂錄影帶 Music Video,▶️ https://youtu.be/WYV-KCTvr7A?si=XBzO7gvP-wHAlQfr,2006,,,Done
Tank - 延長比賽,導演 比爾賈,,tt.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1N8411Y7r4/?share_source=copy_web,2006,,,Done
曹格 - Superman,導演 比爾賈,,Screenshot_2024-09-04_at_12.20.11.png,音樂錄影帶 Music Video,▶️ https://youtu.be/CGffay26lug?si=wznw0yCIBqxkIlhc,2006,,,Done
蕭蕭 - 想忘了,導演 比爾賈,,Screenshot_2024-09-04_at_12.11.50.png,音樂錄影帶 Music Video,▶️ https://youtu.be/jyE6ugYFYlQ?si=1dGir2LpStLQ4Edo,2006,,,Done
蔡健雅 - 深信不疑,導演 比爾賈,,Screenshot_2024-09-04_at_12.31.37.png,音樂錄影帶 Music Video,▶️ https://youtu.be/9sHSs5mGy1M?si=ARrvs4v6oajVokvx,2006,,,Done
UNI water - 條碼篇,導演 蕭雅全,,uni.png,廣告 Commercial,▶️ https://youtu.be/ZOhZsUH-kqg?si=GAoff3yXdXZVR9lk,2006,,,Done
Tank -  激戰,導演 比爾賈,,tttt.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1ZV4y1N7gW/?share_source=copy_web,2006,,,Done
陶喆 - 忘不了,,,Screenshot_2024-09-04_at_12.15.22.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV14gsFeeESE/?share_source=copy_web,2006,,,Done
游鴻明 - 詩人的眼淚,導演 比爾賈,,y.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1jL411p7mE/?share_source=copy_web,2006,,,Done
JJ林俊傑 - 不死之身,導演 比爾賈,,Screenshot_2024-09-04_at_12.41.08.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1VL4y1578U/?share_source=copy_web,2006,,,Done
JJ林俊傑 - 曹操,導演 比爾賈,,Screenshot_2024-09-04_at_12.37.39.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1Dq4y127RY/?share_source=copy_web,2006,,,Done
S.H.E. - 月桂女神,導演 比爾賈,,sssss.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1Yz421y7fS/?share_source=copy_web,2005,,,Done
陶晶瑩 - 嫉妒,導演 比爾賈,,Screenshot_2024-09-04_at_12.59.19.png,音樂錄影帶 Music Video,▶️ https://youtu.be/TzDgS_E_GIk?si=x9Px_h_Xm3QHqgul,2005,,,Done
S.H.E.  - 不想長大,導演 比爾賈,,sss.png,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV12S4y1C7a5/?share_source=copy_web,2005,,,Done
劉若英 - 別人,導演 胡世山,,Screenshot_2024-09-04_at_12.54.12.png,音樂錄影帶 Music Video,▶️ https://youtu.be/VG5YVL-WyQI?si=edsXLHA9oG5BJd-V,2005,,,Done
S.H.E. - 神槍手,導演 賴偉康 比爾賈,,sssssss.png,音樂錄影帶 Music Video,▶️ https://youtu.be/cqYqhB1YTnA?si=vdORim0yRM6kRBm9,2005,,,Done
蘇菲亞鑽石 TVC Edmund篇,導演 梁景昇,,s.png,廣告 Commercial,▶️ https://youtu.be/uXX6m356CsM?si=UfwnkBKHQCGLN9o5,,,,Done
